course_id,course_name,provider,difficulty_level,skills_taught,duration_hours,rating
C0000,Advanced SQL,Coursera,Intermediate,SQL,38,4.99
C0001,Effective Communication,LinkedIn Learning,Beginner,Java,38,3.08
C0002,Leadership Skills,Udemy,Intermediate,Communication,36,3.39
C0003,Excel for Business,Udemy,Intermediate,Communication,42,4.62
C0004,Power BI Dashboards,LinkedIn Learning,Intermediate,Leadership,29,4.65
C0005,Java Programming,Coursera,Advanced,Power BI,7,4.64
C0006,Java Programming,Coursera,Intermediate,R,56,4.75
C0007,Python for Data Analysis,Udemy,Beginner,Excel,47,3.85
C0008,Python for Data Analysis,Udemy,Intermediate,Java,51,4.86
C0009,Power BI Dashboards,edX,Advanced,Excel,33,3.42
C0010,Advanced SQL,Udemy,Intermediate,Java,25,4.87
C0011,Java Programming,Coursera,Intermediate,Python,13,4.11
C0012,Machine Learning Fundamentals,Udemy,Advanced,Data Visualization,25,3.33
C0013,Excel for Business,LinkedIn Learning,Beginner,Data Visualization,25,4.47
C0014,Advanced SQL,edX,Advanced,Leadership,11,3.59
C0015,Advanced SQL,edX,Intermediate,Python,51,3.44
C0016,Advanced SQL,Coursera,Intermediate,SQL,36,3.34
C0017,Python for Data Analysis,LinkedIn Learning,Intermediate,Python,26,3.06
C0018,Effective Communication,Udemy,Intermediate,Data Visualization,46,4.53
C0019,Effective Communication,edX,Beginner,Excel,15,3.97
C0020,Leadership Skills,edX,Intermediate,R,59,4.96
C0021,Effective Communication,LinkedIn Learning,Intermediate,Python,38,3.88
C0022,Python for Data Analysis,edX,Advanced,Excel,18,4.69
C0023,Effective Communication,LinkedIn Learning,Beginner,SQL,52,4.94
C0024,Machine Learning Fundamentals,Coursera,Advanced,Communication,45,3.04
C0025,Excel for Business,edX,Intermediate,Leadership,26,3.21
C0026,Leadership Skills,Udemy,Intermediate,Machine Learning,29,3.7
C0027,Advanced SQL,LinkedIn Learning,Intermediate,Data Visualization,20,4.74
C0028,Java Programming,Coursera,Beginner,Communication,37,4.68
C0029,Leadership Skills,Udemy,Intermediate,Excel,6,3.73
C0030,Effective Communication,LinkedIn Learning,Advanced,Leadership,43,3.4
C0031,Leadership Skills,Udemy,Advanced,R,48,4.6
C0032,Leadership Skills,edX,Beginner,SQL,54,4.19
C0033,Python for Data Analysis,Coursera,Intermediate,Machine Learning,10,3.06
C0034,Power BI Dashboards,LinkedIn Learning,Intermediate,Communication,38,4.61
C0035,Python for Data Analysis,LinkedIn Learning,Intermediate,R,50,4.91
C0036,Advanced SQL,Coursera,Beginner,Java,52,3.08
C0037,Advanced SQL,Udemy,Beginner,R,46,3.57
C0038,Python for Data Analysis,Coursera,Intermediate,Leadership,41,4.64
C0039,Java Programming,Coursera,Advanced,Communication,26,4.17
C0040,Power BI Dashboards,Coursera,Beginner,Power BI,20,4.98
C0041,Power BI Dashboards,Coursera,Beginner,Java,11,4.83
C0042,Leadership Skills,edX,Advanced,SQL,51,3.36
C0043,Advanced SQL,LinkedIn Learning,Advanced,Python,17,4.35
C0044,Leadership Skills,Udemy,Intermediate,Excel,53,4.31
C0045,Python for Data Analysis,Udemy,Intermediate,Leadership,54,3.22
C0046,Java Programming,Coursera,Intermediate,Python,54,3.18
C0047,Excel for Business,Coursera,Intermediate,Communication,21,4.14
C0048,Java Programming,Udemy,Beginner,Communication,7,3.81
C0049,Excel for Business,Udemy,Advanced,Excel,16,4.09
C0050,Advanced SQL,edX,Intermediate,Python,10,3.48
C0051,Power BI Dashboards,Coursera,Advanced,Communication,16,4.11
C0052,Excel for Business,Udemy,Intermediate,Java,15,3.77
C0053,Python for Data Analysis,LinkedIn Learning,Advanced,R,45,4.78
C0054,Leadership Skills,edX,Intermediate,Machine Learning,23,3.61
C0055,Machine Learning Fundamentals,edX,Advanced,Python,35,4.74
C0056,Machine Learning Fundamentals,Coursera,Intermediate,Communication,55,3.78
C0057,Power BI Dashboards,edX,Beginner,SQL,6,4.16
C0058,Effective Communication,edX,Intermediate,Python,49,3.57
C0059,Machine Learning Fundamentals,LinkedIn Learning,Advanced,Excel,36,4.62
C0060,Python for Data Analysis,edX,Intermediate,Data Visualization,22,4.69
C0061,Effective Communication,LinkedIn Learning,Beginner,Communication,59,4.62
C0062,Advanced SQL,edX,Beginner,R,8,4.28
C0063,Advanced SQL,edX,Intermediate,Leadership,26,3.61
